,mouse,session,fiber side,trial numbers,trial type,side,outcome,last trial type,last choice,last outcome,next trial type,next choice,next outcome,norm APE,stay or switch
131,SNL_photo21,20200829,left,66.0,6.0,contra,1.0,4.0,contra,0.0,6.0,contra,1.0,1.7680483250690817,stay
132,SNL_photo21,20200829,left,41.0,2.0,contra,0.0,7.0,contra,1.0,4.0,contra,1.0,1.7669896215491243,stay
133,SNL_photo21,20200829,left,259.0,6.0,contra,1.0,3.0,ipsi,1.0,3.0,ipsi,1.0,1.7626279225486707,switch
134,SNL_photo21,20200829,left,422.0,3.0,ipsi,1.0,7.0,contra,1.0,6.0,contra,1.0,1.7471723746903713,switch
135,SNL_photo21,20200829,left,417.0,2.0,ipsi,1.0,1.0,ipsi,1.0,2.0,ipsi,1.0,1.7417416552567253,stay
136,SNL_photo21,20200829,left,68.0,4.0,contra,0.0,6.0,contra,1.0,7.0,contra,1.0,1.7406910391792825,stay
137,SNL_photo21,20200829,left,70.0,4.0,contra,1.0,7.0,contra,1.0,7.0,contra,1.0,1.7310052932596358,stay
138,SNL_photo21,20200829,left,14.0,4.0,contra,1.0,3.0,contra,0.0,4.0,contra,1.0,1.7307519585778999,stay
139,SNL_photo21,20200829,left,24.0,1.0,ipsi,1.0,1.0,ipsi,1.0,1.0,ipsi,1.0,1.7184877375758907,stay
140,SNL_photo21,20200829,left,207.0,5.0,contra,1.0,6.0,contra,1.0,1.0,ipsi,1.0,1.7126899392840909,stay
141,SNL_photo21,20200829,left,209.0,3.0,ipsi,1.0,1.0,ipsi,1.0,5.0,ipsi,0.0,1.7078453641779832,stay
142,SNL_photo21,20200829,left,4.0,3.0,contra,0.0,4.0,ipsi,0.0,2.0,contra,0.0,1.704443704102918,switch
143,SNL_photo21,20200829,left,509.0,7.0,contra,1.0,6.0,contra,1.0,6.0,ipsi,0.0,1.6974906929827973,stay
144,SNL_photo21,20200829,left,442.0,5.0,contra,1.0,7.0,contra,1.0,7.0,contra,1.0,1.6971690506554549,stay
145,SNL_photo21,20200829,left,495.0,6.0,contra,1.0,6.0,contra,1.0,3.0,contra,0.0,1.6823046106339032,stay
